,lstm_layer,f1,precision,recall,acc,best last epoch,,,d100,,d200,
d100_pretrained,,,,,,,,avg f1,pretrained,trainable,pretrained,trainable
,250,,,,,,,300,89.55,89.54,89.67,86.71
,,89.83,0.9,0.9,97.96,14,,250,89.59,89.37,89.56,89.60
,,89.83,0.9,0.9,97.96,17,,200,89.69,89.61,89.51,89.67
,,89.26,0.89,0.89,97.86,8,,170,89.58,89.51,89.49,89.57
,,89.44,0.89,0.9,97.88,13,,130,89.54,89.32,89.30,89.44
,,89.64,0.89,0.9,97.92,17,,100,89.25,89.22,89.28,89.26
,,89.53,0.89,0.9,97.87,17,,,d100,,d200,
,,89.65,0.89,0.9,97.92,11,,best f1,pretrained,trainable,pretrained,trainable
,,89.39,0.89,0.9,97.86,12,,300,90.07,90.02,90.03,90.10
,,89.73,0.89,0.9,97.94,15,,250,89.83,89.73,89.89,90.14
,200,,,,,,,200,89.94,89.91,89.90,90.10
,,89.94,0.9,0.9,97.98,14,,170,89.97,90.06,89.74,89.92
,,89.49,0.89,0.9,97.9,15,,130,89.73,89.80,89.75,89.82
,,89.85,0.9,0.9,97.96,19,,100,89.65,89.57,89.59,89.53
,,89.91,0.9,0.9,98.01,20,,,,,,
,,89.31,0.89,0.9,97.83,14,,avg stop,pretrained,trainable,pretrained,trainable
,,89.58,0.89,0.9,97.88,13,,300,12.6,12.8,14.2,14.40
,,89.78,0.9,0.9,97.94,11,,250,13.8,12.6,15.0,14.0
,,89.75,0.89,0.9,97.92,15,,200,14.9,15.6,12.5,16.6
,,89.62,0.89,0.9,97.89,15,,170,16.4,13.9,15.1,15.9
,,89.63,0.89,0.9,97.93,13,,130,17.1,15.5,13.1,15.9
,170,,,,,,,100,15.6,16.2,16.4,15.7
,,89.51,0.89,0.9,97.86,18,,,,,,
,,89.26,0.89,0.89,97.87,11,,spannweite,pretrained,trainable,pretrained,trainable
,,89.67,0.89,0.9,97.9,19,,300,1.18,1.06,1.09,0.87
,,89.97,0.9,0.9,98.03,20,,250,0.57,0.75,0.73,0.94
,,89.78,0.89,0.9,97.96,20,,200,0.63,0.75,1.06,0.58
,,89.71,0.9,0.9,97.92,14,,170,0.71,1.46,0.61,0.56
,,89.34,0.89,0.9,97.84,11,,130,0.35,0.99,0.78,0.72
,,89.68,0.89,0.9,97.9,17,,100,1.00,1.09,0.73,0.78
,,89.44,0.89,0.9,97.84,20,,,,,,
,,89.41,0.89,0.9,97.84,14,,varianz,pretrained,trainable,pretrained,trainable
,130,,,,,,,300,0.1432,0.1300,0.1037,0.1431
,,89.43,0.89,0.9,97.85,15,,250,0.0395,0.0612,0.0578,0.0688
,,89.58,0.89,0.9,97.86,14,,200,0.0392,0.0733,0.0983,0.0378
,,89.48,0.89,0.9,97.91,14,,170,0.0489,0.1732,0.0409,0.0308
,,89.38,0.89,0.9,97.86,11,,130,0.0118,0.0787,0.0606,0.0499
,,89.57,0.89,0.9,97.89,18,,100,0.0943,0.0846,0.0656,0.0610
,,89.5,0.89,0.9,97.88,20,,,,,,
,,89.46,0.89,0.9,97.88,19,,,,,,
,,89.73,0.89,0.9,97.93,20,,,,,,
,,89.64,0.89,0.9,97.89,20,,,,,,
,,89.63,0.89,0.9,97.92,20,,,,,,
,100,,,,,,,,,,,
,,88.97,0.89,0.89,97.79,14,,,,,,
,,89.33,0.89,0.89,97.85,19,,,,,,
,,88.65,0.88,0.89,97.77,8,,,,,,
,,89.46,0.89,0.9,97.86,20,,,,,,
,,89.28,0.89,0.89,97.84,13,,,,,,
,,89.45,0.89,0.9,97.82,18,,,,,,
,,89.14,0.89,0.89,97.83,14,,,,,,
,,89.54,0.89,0.9,97.9,18,,,,,,
,,89.65,0.89,0.9,97.9,18,,,,,,
,,89,0.89,0.89,97.8,14,,,,,,
d100_pretrained_trainable,,,,,,,,,,,,
,250,,,,,,,,,,,
,,89.3,0.89,0.9,97.87,9,,,,,,
,,89.63,0.89,0.9,97.9,11,,,,,,
,,89.49,0.89,0.9,97.91,11,,,,,,
,,89.1,0.89,0.89,97.8,12,,,,,,
,,89.73,0.89,0.9,97.9,20,,,,,,
,,89.23,0.89,0.89,97.86,8,,,,,,
,,89.24,0.89,0.9,97.85,14,,,,,,
,,89.64,0.89,0.9,97.91,19,,,,,,
,,89.37,0.89,0.9,97.8,12,,,,,,
,,88.98,0.89,0.89,97.77,10,,,,,,
,200,,,,,,,,,,,
,,89.8,0.89,0.9,97.93,17,,,,,,
,,89.91,0.9,0.9,97.95,16,,,,,,
,,89.8,0.9,0.9,97.9,15,,,,,,
,,89.83,0.9,0.9,97.96,15,,,,,,
,,89.16,0.89,0.9,97.79,13,,,,,,
,,89.9,0.9,0.9,97.94,20,,,,,,
,,89.42,0.89,0.9,97.89,20,,,,,,
,,89.31,0.89,0.9,97.9,14,,,,,,
,,89.42,0.89,0.9,97.88,14,,,,,,
,,89.59,0.89,0.9,97.9,12,,,,,,
,170,,,,,,,,,,,
,,89.52,0.89,0.9,97.91,17,,,,,,
,,89.55,0.89,0.9,97.92,20,,,,,,
,,88.6,0.88,0.89,97.74,7,,,,,,
,,89.49,0.89,0.9,97.88,13,,,,,,
,,89.72,0.89,0.9,97.87,15,,,,,,
,,89.62,0.89,0.9,97.97,16,,,,,,
,,89.64,0.89,0.9,97.91,12,,,,,,
,,90.06,0.9,0.9,98.01,15,,,,,,
,,89.03,0.89,0.89,97.84,8,,,,,,
,,89.86,0.9,0.9,97.94,16,,,,,,
,130,,,,,,,,,,,
,,89.42,0.89,0.9,97.9,19,,,,,,
,,89.61,0.89,0.9,97.9,20,,,,,,
,,89.8,0.9,0.9,97.92,19,,,,,,
,,89.5,0.89,0.9,97.89,19,,,,,,
,,89.24,0.89,0.89,97.86,10,,,,,,
,,88.81,0.89,0.89,97.81,8,,,,,,
,,89.11,0.89,0.89,97.81,15,,,,,,
,,89.26,0.89,0.9,97.85,16,,,,,,
,,89.29,0.89,0.9,97.85,15,,,,,,
,,89.13,0.89,0.89,97.83,14,,,,,,
,100,,,,,,,,,,,
,,89.2,0.89,0.9,97.87,18,,,,,,
,,89.38,0.89,0.9,97.88,19,,,,,,
,,89.37,0.89,0.9,97.9,14,,,,,,
,,89.25,0.89,0.9,97.85,18,,,,,,
,,89.22,0.89,0.9,97.86,19,,,,,,
,,89.38,0.89,0.9,97.89,17,,,,,,
,,89.21,0.89,0.89,97.84,14,,,,,,
,,88.48,0.88,0.89,97.75,11,,,,,,
,,89.09,0.89,0.89,97.85,14,,,,,,
,,89.57,0.89,0.9,97.92,18,,,,,,
d200_pretrained,,,,,,,,,,,,
,250,,,,,,,,,,,
,,89.57,0.89,0.9,97.89,20,,,,,,
,,89.59,0.89,0.9,97.9,17,,,,,,
,,89.89,0.9,0.9,98.02,18,,,,,,
,,89.77,0.89,0.9,97.95,16,,,,,,
,,89.73,0.89,0.9,97.93,20,,,,,,
,,89.3,0.89,0.9,97.87,12,,,,,,
,,89.75,0.89,0.9,97.94,19,,,,,,
,,89.54,0.89,0.9,97.85,9,,,,,,
,,89.16,0.89,0.9,97.8,11,,,,,,
,,89.29,0.89,0.89,97.86,8,,,,,,
,200,,,,,,,,,,,
,,89.83,0.89,0.9,97.97,16,,,,,,
,,89.72,0.89,0.9,97.95,16,,,,,,
,,89.47,0.89,0.9,97.91,11,,,,,,
,,89.22,0.89,0.9,97.84,8,,,,,,
,,89.37,0.89,0.9,97.87,11,,,,,,
,,89.5,0.89,0.9,97.85,13,,,,,,
,,89.56,0.89,0.9,97.89,12,,,,,,
,,89.9,0.9,0.9,97.95,14,,,,,,
,,89.68,0.89,0.9,97.86,16,,,,,,
,,88.84,0.88,0.89,97.81,8,,,,,,
,170,,,,,,,,,,,
,,89.57,0.89,0.9,97.9,14,,,,,,
,,89.36,0.89,0.9,97.87,12,,,,,,
,,89.62,0.89,0.9,97.94,19,,,,,,
,,89.62,0.89,0.9,97.9,16,,,,,,
,,89.27,0.89,0.9,97.82,12,,,,,,
,,89.13,0.89,0.9,97.81,11,,,,,,
,,89.35,0.89,0.9,97.87,12,,,,,,
,,89.71,0.9,0.9,97.95,16,,,,,,
,,89.54,0.89,0.9,97.89,20,,,,,,
,,89.74,0.89,0.9,97.91,19,,,,,,
,130,,,,,,,,,,,
,,89.25,0.89,0.9,97.83,11,,,,,,
,,89.29,0.89,0.9,97.84,12,,,,,,
,,89.2,0.89,0.89,97.85,15,,,,,,
,,88.97,0.89,0.89,97.8,9,,,,,,
,,89.47,0.89,0.9,97.86,19,,,,,,
,,89.32,0.89,0.9,97.84,13,,,,,,
,,89.61,0.89,0.9,97.92,13,,,,,,
,,89.04,0.89,0.89,97.77,12,,,,,,
,,89.75,0.9,0.9,97.91,16,,,,,,
,,89.13,0.89,0.89,97.81,11,,,,,,
,100,,,,,,,,,,,
,,88.97,0.89,0.89,97.79,12,,,,,,
,,88.86,0.89,0.89,97.79,16,,,,,,
,,89.35,0.89,0.89,97.88,16,,,,,,
,,89.51,0.89,0.9,97.83,15,,,,,,
,,89.09,0.89,0.89,97.81,17,,,,,,
,,89.56,0.89,0.9,97.87,20,,,,,,
,,89.35,0.89,0.9,97.83,15,,,,,,
,,89.43,0.89,0.9,97.85,17,,,,,,
,,89.13,0.89,0.89,97.86,17,,,,,,
,,89.59,0.89,0.9,97.88,19,,,,,,
d200_pretrained_trainable,,,,,,,,,,,,
,250,,,,,,,,,,,
,,89.45,0.89,0.9,97.84,18,,,,,,
,,89.53,0.89,0.9,97.86,12,,,,,,
,,90.14,0.9,0.9,98,19,,,,,,
,,89.2,0.89,0.9,97.86,8,,,,,,
,,89.58,0.89,0.9,97.92,15,,,,,,
,,89.72,0.89,0.9,97.96,15,,,,,,
,,89.85,0.9,0.9,97.97,13,,,,,,
,,89.44,0.89,0.9,97.93,12,,,,,,
,,89.41,0.89,0.9,97.86,13,,,,,,
,,89.64,0.89,0.9,97.9,15,,,,,,
,200,,,,,,,,,,,
,,89.52,0.89,0.9,97.92,17,,,,,,
,,89.88,0.89,0.9,97.88,20,,,,,,
,,89.54,0.89,0.9,97.9,20,,,,,,
,,90.1,0.9,0.9,97.96,19,,,,,,
,,89.6,0.89,0.9,97.94,17,,,,,,
,,89.53,0.89,0.9,97.89,17,,,,,,
,,89.79,0.89,0.9,97.96,17,,,,,,
,,89.59,0.89,0.9,97.93,13,,,,,,
,,89.52,0.89,0.9,97.91,13,,,,,,
,,89.61,0.89,0.9,97.94,13,,,,,,
,170,,,,,,,,,,,
,,89.37,0.89,0.9,97.8,16,,,,,,
,,89.49,0.89,0.9,97.87,14,,,,,,
,,89.7,0.89,0.9,97.92,13,,,,,,
,,89.92,0.89,0.9,97.99,19,,,,,,
,,89.38,0.89,0.9,97.9,16,,,,,,
,,89.59,0.89,0.9,97.92,19,,,,,,
,,89.66,0.9,0.9,97.93,16,,,,,,
,,89.36,0.89,0.9,97.89,12,,,,,,
,,89.6,0.89,0.9,97.95,20,,,,,,
,,89.61,0.89,0.9,97.9,14,,,,,,
,130,,,,,,,,,,,
,,89.1,0.89,0.89,97.83,15,,,,,,
,,89.37,0.89,0.9,97.88,16,,,,,,
,,89.47,0.89,0.9,97.88,11,,,,,,
,,89.16,0.89,0.89,97.84,15,,,,,,
,,89.38,0.89,0.9,97.87,13,,,,,,
,,89.56,0.89,0.9,97.87,20,,,,,,
,,89.82,0.9,0.9,97.93,19,,,,,,
,,89.27,0.89,0.9,97.86,15,,,,,,
,,89.6,0.89,0.9,97.95,19,,,,,,
,,89.62,0.89,0.9,97.93,16,,,,,,
,100,,,,,,,,,,,
,,89.51,0.89,0.9,97.9,15,,,,,,
,,89.22,0.89,0.89,97.87,16,,,,,,
,,89.49,0.89,0.9,97.92,19,,,,,,
,,88.75,0.88,0.89,97.82,16,,,,,,
,,89.32,0.89,0.9,97.88,11,,,,,,
,,89.53,0.89,0.9,97.91,18,,,,,,
,,89.08,0.89,0.89,97.84,14,,,,,,
,,89.31,0.89,0.9,97.85,18,,,,,,
,,89.04,0.89,0.89,97.8,11,,,,,,
,,89.37,0.89,0.9,97.85,19,,,,,,