,acc,precision,f1,recall,stop,best score,,avg f1,avg stop,best f1,spannweite,varianz
baseline,97.88,0.90,89.76,0.90,15,15.0,baseline,89.52,12.0,89.87,1.01,0.1075
,97.76,0.89,88.86,0.89,11,8.0,baseline + trainable,88.90,10.8,89.33,0.87,0.0632
,97.86,0.89,89.28,0.90,11,8.0,,,,,,
,97.92,0.90,89.84,0.90,15,13.5,,,,,,
,97.78,0.89,89.22,0.90,13,10.0,,,,,,
,97.92,0.90,89.87,0.90,15,13.5,,,,,,
,97.87,0.89,89.43,0.90,14,11.0,,,,,,
,97.95,0.90,89.82,0.90,15,13.5,,,,,,
,97.87,0.89,89.57,0.90,15,13.5,,,,,,
,97.90,0.89,89.56,0.90,15,13.5,,,,,,
baseline + trainable,97.92,0.89,89.33,0.90,15,13.5,,,,,,
,97.90,0.89,89.08,0.90,15,13.5,,,,,,
,97.77,0.88,88.46,0.89,11,8.0,,,,,,
,97.87,0.89,88.97,0.89,11,8.0,,,,,,
,97.82,0.88,88.89,0.89,12,9.0,,,,,,
,97.84,0.89,88.99,0.89,15,13.5,,,,,,
,97.84,0.88,88.65,0.89,8,5.0,,,,,,
,97.83,0.88,88.78,0.89,15,13.5,,,,,,
,97.89,0.89,89.12,0.90,15,13.5,,,,,,
,97.81,0.88,88.76,0.89,13,10.0,,,,,,